Id in EU,id,Id di Riccardo,In zotero,EU selection,Title of the scientific publication,abstract,doi link,DOI,Year of publication,Type of scientific publication,Issue,Ack,Open access,Open Access Fee,Fee corrisposta da,container,Publisher,Authors,ISSN or eSSN,Title of the journal or equivalent,"Number, date",Place of publication,Relevant pages,Joint Public / Private publication,Peer-review,Research line
41,60,BGG2023b,TRUE,FALSE,Transparent Latent Space Counterfactual Explanations for Tabular Data,"Artificial Intelligence decision-making systems have dramatically increased their predictive performance in recent years, beating humans in many different specific tasks. However, with increased performance has come an increase in the complexity of the black-box models adopted by the AI systems, making them entirely obscure for the decision process adopted. Explainable AI is a field that seeks to make AI decisions more transparent by producing explanations. In this paper, we propose T-LACE, an approach able to retrieve post-hoc counterfactual explanations for a given pre-trained black-box model. T-LACE exploits the similarity and linearity proprieties of a custom-created transparent latent space to build reliable counterfactual explanations. We tested T-LACE on several tabular datasets and provided qualitative evaluations of the generated explanations in terms of similarity, robustness, and diversity. Comparative analysis against various state-of-the-art counterfactual explanation methods shows the higher effectiveness of our approach.",https://ieeexplore.ieee.org/document/10032407,10.1109/DSAA54385.2022.10032407,2022,proceedings-article,"ack ok, no OA",TRUE,NO,,,"Proceedings of Data Science and Advanced Analytics (DSAA), 2022 IEEE 9th International Conference",IEEE,"Bodria Francesco, Riccardo Guidotti, Fosca Giannotti, Dino Pedreschi",,"Proceedings of the 9th IEEE International Conference on Data Science and Advanced, Analytics (DSAA)",13 October 2022,"Shenzhen, China",,no,yes,1
42,61,BGG2023c,TRUE,FALSE,Interpretable Latent Space to Enable Counterfactual Explanations,"Many dimensionality reduction methods have been introduced to map a data space into one with fewer features and enhance machine learning models’ capabilities. This reduced space, called latent space, holds properties that allow researchers to understand the data better and produce better models. This work proposes an interpretable latent space that preserves the similarity of data points and supports a new way of learning a classification model that allows prediction and explanation through counterfactual examples. We demonstrate with extensive experiments the effectiveness of the latent space with respect to different metrics in comparison with several competitors, as well as the quality of the achieved counterfactual explanations.",https://doi.org/10.1007/978-3-031-18840-4_37,10.1007/978-3-031-18840-4_37,2022,proceedings-article,"ack ok, no OA",TRUE,NO,,,"Proceedings of the 25th international conference on Discovery Science (DS), 2022, Montpellier","Springer, Cham","Francesco Bodria, Riccardo Guidotti, Fosca Giannotti & Dino Pedreschi ",,Lecture Notes in Computer Science(),06 November 2022,"Montpellier, France",,no,yes,1
43,62,PBF2023,TRUE,TRUE,"Co-design of human-centered, explainable AI for clinical decision support","eXplainable AI (XAI) involves two intertwined but separate challenges: the development of techniques to extract explanations from black-box AI models and the way such explanations are presented to users, i.e., the explanation user interface. Despite its importance, the second aspect has received limited attention so far in the literature. Effective AI explanation interfaces are fundamental for allowing human decision-makers to take advantage and oversee high-risk AI systems effectively. Following an iterative design approach, we present the first cycle of prototyping-testing-redesigning of an explainable AI technique and its explanation user interface for clinical Decision Support Systems (DSS). We first present an XAI technique that meets the technical requirements of the healthcare domain: sequential, ontology-linked patient data, and multi-label classification tasks. We demonstrate its applicability to explain a clinical DSS, and we design a first prototype of an explanation user interface. Next, we test such a prototype with healthcare providers and collect their feedback with a two-fold outcome: First, we obtain evidence that explanations increase users' trust in the XAI system, and second, we obtain useful insights on the perceived deficiencies of their interaction with the system, so we can re-design a better, more human-centered explanation interface.",10.1145/3587271,10.1145/3587271,2023,Article in Journal,"ack ok, OA ok",TRUE,Gold,"725,59",,,,"Panigutti, C., Beretta, A., Fadda, D., Giannotti, F., Pedreschi, D., Perotti, A., Rinzivillo, S.",,ACM Transactions on Interactive Intelligent Systems,,,,no,Yes,"1,3"
44,63,PKP2024,TRUE,TRUE,DINE: Dimensional Interpretability of Node Embeddings,"Graphs are ubiquitous due to their flexibility in representing social and technological systems as networks of interacting elements. Graph representation learning methods, such as node embeddings, are powerful approaches to map nodes into a latent vector space, allowing their use for various graph tasks. Despite their success, only few studies have focused on explaining node embeddings locally. Moreover, global explanations of node embeddings remain unexplored, limiting interpretability and debugging potentials. We address this gap by developing human-understandable explanations for dimensions in node embeddings. Towards that, we first develop new metrics that measure the global interpretability of embedding vectors based on the marginal contribution of the embedding dimensions to predicting graph structure. We say that an embedding dimension is more interpretable if it can faithfully map to an understandable sub-structure in the input graph – like community structure. Having observed that standard node embeddings have low interpretability, we then introduce DINE (Dimension-based Interpretable Node Embedding), a novel approach that can retrofit existing node embeddings by making them more interpretable without sacrificing their task performance. We conduct extensive experiments on synthetic and real-world graphs and show that we can simultaneously learn highly interpretable node embeddings with effective performance in link prediction.",10.1109/tkde.2024.3425460,10.1109/tkde.2024.3425460,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,UNIPI (abbonamento),,,"Simone Piaggesi, Megha Khosla, André Panisson, Avishek Anand",,IEEE Transactions on Knowledge and Data Engineering,36,,,no,No,"1,2"
45,64,GMO2024,TRUE,TRUE,The ethical impact assessment of selling life insurance to titanic passengers,"The Artificial Intelligence Act (AIA) is a uniform legal framework to ensure that AI systems within the European Union (EU) are safe and comply with existing law on fundamental rights and constitutional values. The AIA adopts a risk-based approach with the aim of intending to regulate AI systems, especially categorised as high-risk, which have significant harmful impacts on the health, safety and fundamental rights of persons in the Union. The AIA is founded on the Ethics Guidelines of the High-Level Expert Group for Trustworthy AI, which are grounded in fundamental rights and reflect four ethical imperatives in order to ensure ethical and robust AI. While we acknowledge that ethics is not law, we advocate that the analysis of ethical risks can assist us in complying with laws, thereby facilitating the implementation of the AIA requirements. Thus, we first design an AI-driven Decision Support System for individual risk prediction in the insurance domain (categorised as high-risk by the AIA) based on the Titanic case, which is a popular benchmark dataset in machine learning. We then fulfill an ethical impact assessment of the Titanic case study, relying on the four ethical imperatives of respect for human autonomy, prevention of harm, fairness, and explicability, declared by the High-Level Expert Group for Trustworthy AI. In the context of this ethical impact assessment, we also refer to the questions in the ALTAI checklist. Our discussions regarding the ethical impact assessment in the insurance domain demonstrate that ethical principles can intersect but also create tensions (intriguingly, only in this particular context), for which there is no definitive solution. When tensions arise, which may result in unavoidable trade-offs, these trade-offs should be addressed in a rational and methodical manner, paying special attention to the context of the current case study being evaluated.",,,2024,Publication in Conference proceedings/Workshop,"ack ok, OA ok",TRUE,Gold,0,,,,"Gezici, Gizem; Mannari, Chiara; Orlandi, Lorenzo",,"HHAI-WS 2023 - Workshops at the Second International Conference on Hybrid Human-Artificial Intelligence, pp. 35–50, Munich, Germany, 26-27/06/2023",20,,,no,No,5
46,65,PMG2023,TRUE,TRUE,Explaining Socio-Demographic and Behavioral Patterns of Vaccination Against the Swine Flu (H1N1) Pandemic,"Pandemic vaccination campaigns must account for vaccine skepticism as an obstacle to overcome. Using machine learning to identify behavioral and psychological patterns in public survey datasets can provide valuable insights and inform vaccination campaigns based on empirical evidence. However, we argue that the adoption of local and global explanation methodologies can provide additional support to health practitioners by suggesting personalized communication strategies and revealing potential demographic, social, or structural barriers to vaccination requiring systemic changes. In this paper, we first implement a chain classification model for the adoption of the vaccine during the H1N1 influenza outbreak taking seasonal vaccination information into account, and then compare it with a binary classifier for vaccination to better understand the overall patterns in the data. Following that, we derive and compare global explanations using post-hoc methodologies and interpretable-by-design models. Our findings indicate that socio-demographic factors play a distinct role in the H1N1 vaccination as compared to the general vaccination. Nevertheless, medical recommendation and health insurance remain significant factors for both vaccinations. Then, we concentrated on the subpopulation of individuals who did not receive an H1N1 vaccination despite being at risk of developing severe symptoms. In an effort to assist practitioners in providing effective recommendations to patients, we present rules and counterfactuals for the selected instances based on local explanations. Finally, we raise concerns regarding gender and racial disparities in healthcare access by analysing the interaction effects of sensitive attributes on the model’s output.",10.1007/978-3-031-44067-0_31,10.1007/978-3-031-44067-0_31,2023,Chapter in a Book,"ack ok, OA ok",TRUE,Gold,285,,,,"Clara Punzi, Aleksandra Maslennikova, Gizem Gezici, Roberto Pellungrini, Fosca Giannotti",,"Communications in Computer and Information Science, Explainable Artificial Intelligence",,,,no,Yes,"1,4"
47,66,GLB2023,TRUE,FALSE,Interpretable Data Partitioning Through Tree-Based Clustering Methods,"The growing interpretable machine learning research field is mainly focusing on the explanation of supervised approaches. However, also unsupervised approaches might benefit from considering interpretability aspects. While existing clustering methods only provide the assignment of records to clusters without justifying the partitioning, we propose tree-based clustering methods that offer interpretable data partitioning through a shallow decision tree. These decision trees enable easy-to-understand explanations of cluster assignments through short and understandable split conditions. The proposed methods are evaluated through experiments on synthetic and real datasets and proved to be more effective than traditional clustering approaches and interpretable ones in terms of standard evaluation measures and runtime. Finally, a case study involving human participation demonstrates the effectiveness of the interpretable clustering trees returned by the proposed method.",10.1007/978-3-031-45275-8_33,10.1007/978-3-031-45275-8_33,2023,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Riccardo Guidotti, Cristiano Landi, Andrea Beretta, Daniele Fadda, Mirco Nanni",,"Lecture Notes in Computer Science, Discovery Science",,,,no,Yes,1
48,67,CGM2023,TRUE,FALSE,Explaining Black-Boxes in Federated Learning,"Federated Learning has witnessed increasing popularity in the past few years for its ability to train Machine Learning models in critical contexts, using private data without moving them. Most of the work in the literature proposes algorithms and architectures for training neural networks, which although they present high performance in different predicting tasks and are easy to be learned with a cooperative mechanism, their predictive reasoning is obscure. Therefore, in this paper we propose a variant of SHAP, one of the most widely used explanation methods, tailored to Horizontal server-based Federated Learning. The basic idea is having the possibility to explain an instance’s prediction performed by the trained Machine Learning model as an aggregation of the explanations provided by the clients participating in the cooperation. We empirically test our proposal on two different tabular datasets, and we observe interesting and encouraging preliminary results.",10.1007/978-3-031-44067-0_8,10.1007/978-3-031-44067-0_8,2023,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Luca Corbucci, Riccardo Guidotti, Anna Monreale",,"Communications in Computer and Information Science, Explainable Artificial Intelligence",,,,no,Yes,1
49,68,CMP2023,TRUE,FALSE,Semantic Enrichment of Explanations of AI Models for Healthcare,"Explaining AI-based clinical decision support systems is crucial to enhancing clinician trust in those powerful systems. Unfortunately, current explanations provided by eXplainable Artificial Intelligence techniques are not easily understandable by experts outside of AI. As a consequence, the enrichment of explanations with relevant clinical information concerning the health status of a patient is fundamental to increasing human experts’ ability to assess the reliability of AI decisions. Therefore, in this paper we propose a methodology to enable clinical reasoning by semantically enriching AI explanations. Starting with a medical AI explanation based only on the input features provided to the algorithm, our methodology leverages medical ontologies and NLP embedding techniques to link relevant information present in the patient’s clinical notes to the original explanation. Our experiments, involving a human expert, highlight promising performance in correctly identifying relevant information about the diseases of the patients.",10.1007/978-3-031-45275-8_15,10.1007/978-3-031-45275-8_15,2023,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Luca Corbucci, Anna Monreale, Cecilia Panigutti, Michela Natilli, Simona Smiraglio, Dino Pedreschi",,"Lecture Notes in Computer Science, Discovery Science",,,,no,Yes,2
50,69,CNP2023,TRUE,TRUE,Effects of Route Randomization on Urban Emissions,"Routing algorithms typically suggest the fastest path or slight variation to reach a user’s desired destination. Although this suggestion at the individual level is undoubtedly advantageous for the user, from a collective point of view, the aggregation of all single suggested paths may result in an increasing impact (e.g., in terms of emissions). In this study, we use SUMO to simulate the effects of incorporating randomness into routing algorithms on emissions, their distribution, and travel time in the urban area of Milan (Italy). Our results reveal that, given the common practice of routing towards the fastest path, a certain level of randomness in routes reduces emissions and travel time. In other words, the stronger the random component in the routes, the more pronounced the benefits upon a certain threshold. Our research provides insight into the potential advantages of considering collective outcomes in routing decisions and highlights the need to explore further the relationship between route randomization and sustainability in urban transportation.",10.52825/scp.v4i.217,10.52825/scp.v4i.217,2023,Article in Journal,"ack ok, sì OA",TRUE,Gold,0,,,,"Giuliano Cornacchia, Mirco Nanni, Dino Pedreschi, Luca Pappalardo",,SUMO Conference Proceedings,4,,,no,Yes,"4,5"
51,70,SRT2023,TRUE,FALSE,Reason to Explain: Interactive Contrastive Explanations (REASONX),"Many high-performing machine learning models are not interpretable. As they are increasingly used in decision scenarios that can critically affect individuals, it is necessary to develop tools to better understand their outputs. Popular explanation methods include contrastive explanations. However, they suffer several shortcomings, among others an insufficient incorporation of background knowledge, and a lack of interactivity. While (dialogue-like) interactivity is important to better communicate an explanation, background knowledge has the potential to significantly improve their quality, e.g., by adapting the explanation to the needs of the end-user. To close this gap, we present REASONX, an explanation tool based on Constraint Logic Programming (CLP). REASONX provides interactive contrastive explanations that can be augmented by background knowledge, and allows to operate under a setting of under-specified information, leading to increased flexibility in the provided explanations. REASONX computes factual and contrastive decision rules, as well as closest contrastive examples. It provides explanations for decision trees, which can be the ML models under analysis, or global/local surrogate models of any ML model. While the core part of REASONX is built on CLP, we also provide a program layer that allows to compute the explanations via Python, making the tool accessible to a wider audience. We illustrate the capability of REASONX on a synthetic data set, and on a well-developed example in the credit domain. In both cases, we can show how REASONX can be flexibly used and tailored to the needs of the user.",10.1007/978-3-031-44064-9_22,10.1007/978-3-031-44064-9_22,2023,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Laura State, Salvatore Ruggieri, Franco Turini",,"Communications in Computer and Information Science, Explainable Artificial Intelligence",,,,no,Yes,"1,3"
52,71,SGM2023,TRUE,TRUE,Understanding Any Time Series Classifier with a Subsequence-based Explainer,"The growing availability of time series data has increased the usage of classifiers for this data type. Unfortunately, state-of-the-art time series classifiers are black-box models and, therefore, not usable in critical domains such as healthcare or finance, where explainability can be a crucial requirement. This paper presents a framework to explain the predictions of any black-box classifier for univariate and multivariate time series. The provided explanation is composed of three parts. First, a saliency map highlighting the most important parts of the time series for the classification. Second, an instance-based explanation exemplifies the black-box’s decision by providing a set of prototypical and counterfactual time series. Third, a factual and counterfactual rule-based explanation, revealing the reasons for the classification through logical conditions based on subsequences that must, or must not, be contained in the time series. Experiments and benchmarks show that the proposed method provides faithful, meaningful, stable, and interpretable explanations.”",10.1145/3624480,10.1145/3624480,2023,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,,"Francesco Spinnato, Riccardo Guidotti, Anna Monreale, Mirco Nanni, Dino Pedreschi, Fosca Giannotti",,ACM Transactions on Knowledge Discovery from Data,18,,,no,Yes,1
53,72,P2024,TRUE,TRUE,Topics in Selective Classification,"Selective classification (also known as classification with a reject option, or learning to defer) extends a classifier with a selection function (reject option/strategy) to determine whether or not a prediction should be accepted. This mechanism allows the AI system to abstain in those instances where the classifier is more uncertain about the class to predict, introducing a trade-off between performance and coverage (the percentage of cases where the classifier does not abstain). The reject option has been extensively studied from a theoretical standpoint. However, state-of-the-art practical approaches and tools are model-specific, e.g., they are tailored to Deep Neural Networks and focused/experimented mainly on image datasets. In this work I developed a model-agnostic heuristics that is able to lift any (probabilistic) classifier into a selective classifier. The approach exploits both a cross-fitting strategy and results from quantile estimation to build the selective function. The algorithm is tested on several real-world datasets, showing improvements compared to existing methodologies.",10.1609/aaai.v37i13.26925,10.1609/aaai.v37i13.26925,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,,Andrea Pugnana,,Proceedings of the AAAI Conference on Artificial Intelligence,37,,,no,Yes,"1,2"
54,73,PSG2023,TRUE,FALSE,Text to Time Series Representations: Towards Interpretable Predictive Models,"In this paper, we investigate the impact of converting text observations into time series observations to solve interpretable text classification through time series representations. By considering temporal dependencies, TSA can be used for various purposes, such as descriptive analysis, clustering, classification, and forecasting. We propose using shapelets in NLP by turning texts into time series. To perform this transformation, we design and implement TOTS, a framework to turn text to time series. TOTS exploits a range of different conversion alternatives for tokenization, feature extraction and aggregation. We formalize our Text to Time Series framework as a feature extraction and aggregation process, proposing a set of different conversion alternatives for each step. We then exploit interpretable models originally developed for time series (e.g., shapelet-based models) as interpretable text classifiers. Our experiments show promising results for classification and interpretability.",10.1007/978-3-031-45275-8_16,10.1007/978-3-031-45275-8_16,2023,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Mattia Poggioli, Francesco Spinnato, Riccardo Guidotti",,"Lecture Notes in Computer Science, Discovery Science",,,,no,Yes,1
55,74,SRT2023b,TRUE,FALSE,Declarative Reasoning on Explanations Using Constraint Logic Programming,"Explaining opaque Machine Learning models is an increasingly relevant problem. Current explanation in AI methods suffer several shortcomings, among others an insufficient incorporation of background knowledge, and a lack of abstraction and interactivity with the user. We propose REASONX, an explanation method based on Constraint Logic Programming. REASONX can provide declarative, interactive explanations for decision trees, which can be the machine learning models under analysis or global or local surrogate models of any black-box model. Users can express background or common sense knowledge using linear constraints and MILP optimization over features of factual and contrastive instances, and interact with the answer constraints at different levels of abstraction through constraint projection. We present here the architecture of REASONX, which consists of a Python layer, closer to the user, and a CLP layer.",10.1007/978-3-031-43619-2_10,10.1007/978-3-031-43619-2_10,2023,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Laura State, Salvatore Ruggieri, Franco Turini",,"Lecture Notes in Computer Science, Logics in Artificial Intelligence",,,,no,Yes,2
56,75,NPR2023,TRUE,TRUE,EXPHLOT: EXplainable Privacy Assessment for Human LOcation Trajectories,"Human mobility data play a crucial role in understanding mobility patterns and developing analytical services across domains such as urban planning, transportation, and public health. However, due to the sensitive nature of this data, identifying privacy risks is essential before deciding to release it publicly. Recent work has proposed using machine learning models for predicting privacy risk on raw mobility trajectories and using SHAP for risk explanation. However, applying SHAP to mobility data results in explanations of limited use both for privacy experts and end-users. In this work, we present EXPHLOT, a novel version of the Expert privacy risk prediction and explanation framework specifically tailored for human mobility data. We leverage state-of-the-art algorithms in time series classification to improve risk prediction while reducing computation time. We also devise an entropy-based mask to efficiently compute SHAP values and develop a module for interactive analysis and visualization of SHAP values over a map, empowering users with an intuitive understanding of privacy risk.",10.1007/978-3-031-45275-8_22,10.1007/978-3-031-45275-8_22,2023,Chapter in a Book,"ack ok, OA ok",TRUE,Gold,570,,,,"Francesca Naretto, Roberto Pellungrini, Salvatore Rinzivillo, Daniele Fadda",,"Lecture Notes in Computer Science, Discovery Science",,,,no,Yes,"1,3,5"
57,76,SGM2024,TRUE,TRUE,"Fast, Interpretable, and Deterministic Time Series Classification With a Bag-of-Receptive-Fields","The current trend in time series classification is to develop highly accurate algorithms by combining multiple models in ensemble hybrids, representing time series in complex feature spaces, and extracting features from different representations. As a consequence, the best time series classifiers are black-box models, not understandable for humans. Even the approaches regarded as interpretable, such as shapelet-based ones, rely on randomization to maintain efficiency, which poses challenges for interpretability. We propose the Bag-Of-Receptive-Fields (BORF), a fast, interpretable, and deterministic time series transform. Building on the Bag-Of-Patterns, we bridge the gap between convolutional operators and discretization, enhancing the Symbolic Aggregate Approximation with dilation and stride to better capture temporal patterns at multiple scales. We propose an algorithmic speedup that reduces the time complexity associated with SAX-based classifiers, enabling the more flexible BORF, represented as a sparse multivariate tensor.",10.1109/access.2024.3464743,10.1109/access.2024.3464743,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,,"Francesco Spinnato, Riccardo Guidotti, Anna Monreale, Mirco Nanni",,IEEE Access,12,,,no,Yes,1
58,77,SCG2024,TRUE,FALSE,Enhancing Echo State Networks with Gradient-based Explainability Methods,"In sequence classification problems, the readout typically receives only the final state of the reservoir. However, averaging all states can be beneficial. In this work, we assess whether a weighted average of hidden states can enhance Echo State Network performance. We propose a gradient-based explainable technique to guide the contribution of each hidden state toward the final prediction. Our approach outperforms the naive average and other baselines in time series classification, particularly on noisy data.",10.14428/esann/2024.es2024-78,10.14428/esann/2024.es2024-78,2024,Publication in Conference proceedings/Workshop,"ack ok, no OA",TRUE,Gold,0,,,,"Francesco Spinnato, Andrea Cossu, Riccardo Guidotti, Andrea Ceni, Claudio Gallicchio, Davide Bacciu",,ESANN 2024 proceesdings,,,,no,Yes,1
59,78,PBG2024,TRUE,TRUE,Counterfactual and Prototypical Explanations for Tabular Data via Interpretable Latent Space,"We evaluated the effectiveness of the created latent space by showing its capability to preserve pair-wise similarities similarly to well-known dimensionality reduction techniques. Our approach introduces a transparent latent space optimized for interpretability of both counterfactual and prototypical explanations for tabular data. The approach enables the easy extraction of local and global explanations and ensures that the latent space preserves similarity relations, enabling meaningful prototypical and counterfactual examples for any classifier.",10.1109/access.2024.3496114,10.1109/access.2024.3496114,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,?,,,,"Simone Piaggesi, Francesco Bodria, Riccardo Guidotti, Fosca Giannotti, Dino Pedreschi",,IEEE Access,12,,,no,Yes,1
60,79,TLT2024,TRUE,TRUE,Inference through innovation processes tested in the authorship attribution task,"Urn models for innovation capture fundamental empirical laws shared by several real-world processes. The so-called urn model with triggering includes, as particular cases, the urn representation of the two-parameter Poisson-Dirichlet process and the Dirichlet process, seminal in Bayesian non-parametric inference. In this work, we leverage this connection to introduce a general approach for quantifying closeness between symbolic sequences and test it within the framework of the authorship attribution problem. The method demonstrates high accuracy when compared to other related methods in different scenarios, featuring a substantial gain in computational efficiency and theoretical transparency. Beyond the practical convenience, this work demonstrates how the recently established connection between urn models and non-parametric Bayesian inference can pave the way for designing more efficient inference methods. In particular, the hybrid approach that we propose allows us to relax the exchangeability hypothesis, which can be particularly relevant for systems exhibiting complex correlation patterns and non-stationary dynamics. (arXiv)",10.1038/s42005-024-01714-6,10.1038/s42005-024-01714-6,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,,"Giulio Tani Raffaelli, Margherita Lalli, Francesca Tria",,Communications Physics,7,,,no,Yes,1
61,80,CSG2024,TRUE,TRUE,Drifting explanations in continual learning,"Continual Learning (CL) trains models on streams of data, with the aim of learning new information without forgetting previous knowledge. We study the behavior of different explanation methods in CL and propose CLEX (ContinuaL EXplanations), an evaluation protocol to robustly assess the change of explanations in Class-Incremental scenarios, where forgetting is pronounced. We observed that models with similar predictive accuracy do not generate similar explanations. (openportal.isti.cnr.it)",10.1016/j.neucom.2024.127960,10.1016/j.neucom.2024.127960,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,,"Andrea Cossu, Francesco Spinnato, Riccardo Guidotti, Davide Bacciu",,Neurocomputing,597,,,no,No,1
62,81,MSG2024,TRUE,TRUE,Social Bias Probing: Fairness Benchmarking for Language Models,"While the impact of social biases in language models has been recognized, prior methods for bias evaluation have been limited to binary association tests on small datasets, limiting our understanding of bias complexities. This paper proposes a novel framework for probing language models for social biases by assessing disparate treatment, which involves treating individuals differently according to their affiliation with a sensitive demographic group. We curate SoFa, a large-scale benchmark designed to address the limitations of existing fairness collections. SoFa expands the analysis beyond the binary comparison of stereotypical versus anti-stereotypical identities to include a diverse range of identities and stereotypes. Comparing our methodology with existing benchmarks, we reveal that biases within language models are more nuanced than acknowledged, indicating a broader scope of encoded biases than previously recognized. Benchmarking LMs on SoFa, we expose how identities expressing different religions lead to the most pronounced disparate treatments across all models. Finally, our findings indicate that real-life adversities faced by various groups such as women and people with disabilities are mirrored in the behavior of these models. (arXiv)",10.18653/v1/2024.emnlp-main.812,10.18653/v1/2024.emnlp-main.812,2024,Publication in Conference proceedings/Workshop,"ack ok, OA ok",TRUE,Gold,0,,,,"Marta Marchiori Manerba, Karolina Stanczak, Riccardo Guidotti, Isabelle Augenstein",,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,,,,no,No,5
63,82,CG2024,TRUE,FALSE,Causality-Aware Local Interpretable Model-Agnostic Explanations,"A main drawback of eXplainable Artificial Intelligence (XAI) approaches is the feature independence assumption, hindering the study of potential variable dependencies. This leads to approximating black box behaviors by analysing the effects on randomly generated feature values that may rarely occur in the original samples. This paper addresses this issue by integrating causal knowledge in an XAI method to enhance transparency and enable users to assess the quality of the generated explanations. Specifically, we propose a novel extension to a widely used local and model-agnostic explainer, which encodes explicit causal relationships within the data surrounding the instance being explained. Extensive experiments show that our approach overcomes the original method in terms of faithfully replicating the black-box model’s mechanism and the consistency and reliability of the generated explanations. (arXiv)",10.1007/978-3-031-63800-8_6,10.1007/978-3-031-63800-8_6,2024,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Martina Cinquini, Riccardo Guidotti",,"Communications in Computer and Information Science, Explainable Artificial Intelligence",,,,no,Yes,"1,2"
64,83,LBC2024,TRUE,TRUE,Explainable Artificial Intelligence (XAI) 2.0: A manifesto of open challenges and interdisciplinary research directions,"As systems based on opaque Artificial Intelligence (AI) continue to flourish in diverse real-world applications, understanding these black box models has become paramount. In response, Explainable AI (XAI) has emerged as a field of research with practical and ethical benefits across various domains. This paper not only highlights the advancements in XAI and its application in real-world scenarios but also addresses the ongoing challenges within XAI, emphasizing the need for broader perspectives and collaborative efforts. We bring together experts from diverse fields to identify open problems, striving to synchronize research agendas and accelerate XAI in practical applications. By fostering collaborative discussion and interdisciplinary cooperation, we aim to propel XAI forward, contributing to its continued success. Our goal is to put forward a comprehensive proposal for advancing XAI. To achieve this goal, we present a manifesto of 27 open problems categorized into nine categories. These challenges encapsulate the complexities and nuances of XAI and offer a road map for future research. For each problem, we provide promising research directions in the hope of harnessing the collective intelligence of interested stakeholders.",10.1016/j.inffus.2024.102301,10.1016/j.inffus.2024.102301,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,,"Luca Longo, Mario Brcic, Federico Cabitza, Jaesik Choi, Roberto Confalonieri, Javier Del Ser, Riccardo Guidotti, Yoichi Hayashi, Francisco Herrera, Andreas Holzinger, Richard Jiang, Hassan Khosravi, Freddy Lecue, Gianclaudio Malgieri, Andrés Páez, Wojciech Samek, Johannes Schneider, Timo Speith, Simone Stumpf",,Information Fusion,106,,,no,Yes,1
65,84,CBM2024,TRUE,TRUE,An Interactive Interface for Feature Space Navigation,"In this paper, we present Feature Space Navigator, an interactive interface that allows an exploration of the decision boundary of a model. The proposal aims to provide users with an intuitive and direct way to navigate through the feature space, inspect model behavior, and perform what-if analyses via feature manipulations and visual feedback. We integrate multiple views including projections of high-dimensional data, decision boundary surfaces, and sensitivity indicators. The interface also supports real-time adjustments of feature values to observe the corresponding changes in the model predictions. Our experiments show that the system can help both novice and expert users to detect regions of uncertainty, identify influential features, and generate hypotheses for model improvement.",10.3233/faia240184,10.3233/faia240184,2024,Chapter in a Book,"ack ok, OA ok",TRUE,Gold,0,,,,"Eleonora Cappuccio, Isacco Beretta, Marta Marchiori Manerba, Salvatore Rinzivillo",,"Frontiers in Artificial Intelligence and Applications, HHAI 2024: Hybrid Human AI Systems for the Social Good",,,,no,Yes,3
66,85,CSG2024b,TRUE,FALSE,Data-Agnostic Pivotal Instances Selection for Decision-Making Models,"As decision-making processes grow increasingly complex, machine learning tools have become essential in tackling business and societal challenges. However, many methodologies rely on complex models that are difficult for experts and users to interpret. We propose a hierarchical and interpretable pivot selection model inspired by Decision Trees, selecting representative pivotal instances based on similarity. The approach is data-agnostic and can leverage pretrained networks for data transformation. Experiments across tabular, text, image, and time-series datasets show superior performance to naive and state-of-the-art instance selectors, while minimizing the number of pivots and maintaining interpretability.",10.1007/978-3-031-70341-6_22,10.1007/978-3-031-70341-6_22,2024,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,,,"Alessio Cascione, Mattia Setzu, Riccardo Guidotti",,"Lecture Notes in Computer Science, Machine Learning and Knowledge Discovery in Databases. Research Track",,,,no,Yes,1
